match_id,duration,first_blood_time,radiant_win,region
8129057271,1615,0,True,3.0
8129066891,1531,68,False,38.0
8129067414,2091,73,True,8.0
8129067783,2779,8,True,3.0
8129069185,3215,104,False,3.0
8129072472,2469,0,True,6.0
8129072784,2085,0,True,8.0
8129075447,2764,196,False,6.0
8129076830,1851,459,True,8.0
8129077354,1865,294,True,3.0
8129079293,1889,0,False,6.0
8129079295,2245,67,True,8.0
8129093866,2152,85,True,6.0
8129109276,2328,0,False,3.0
8129111487,2627,119,False,8.0
8129135014,1536,166,True,3.0
8129144457,1387,159,True,3.0
8129146800,1704,91,False,8.0
8129152857,2256,123,True,8.0
8129161957,2040,108,False,8.0
8129162007,2401,0,True,8.0
8129164324,2132,286,False,15.0
8129172997,1789,0,True,6.0
8129180424,1483,6,True,6.0
8129189416,2922,11,False,3.0
8129193688,1454,85,True,3.0
8129207529,3330,0,True,3.0
8129230566,1987,353,True,8.0
8129238133,1993,3,False,8.0
8129240243,1651,0,True,8.0
8129240692,3141,0,False,6.0
8129241084,1612,12,True,2.0
8129246446,1383,8,True,3.0
8129251784,2475,2,False,6.0
8129251901,1981,67,False,8.0
8129261037,2546,161,True,15.0
8129298921,2341,0,False,8.0
8129320179,1925,119,False,2.0
8129337908,1508,0,True,6.0
8129347299,2800,0,False,6.0
8129351660,2685,96,True,8.0
8129358189,3370,205,False,38.0
8129394804,2393,7,False,3.0
8129400994,1473,293,False,3.0
8129432936,1735,61,True,8.0
8129441747,1472,237,True,3.0
8129446995,1579,112,False,2.0
8129454270,2121,2,False,38.0
8129469001,1795,198,False,38.0
8129469572,2878,8,True,38.0
8129469740,1436,115,True,2.0
8129469977,1574,32,True,38.0
8129471284,936,7,True,38.0
8129471456,1155,0,True,38.0
8129471506,3153,0,True,2.0
8129471820,2755,0,False,2.0
8129476395,1331,26,True,38.0
8129478083,1483,0,False,3.0
8129482818,1623,186,False,3.0
8129483364,1691,0,False,8.0
8129483410,2279,157,False,38.0
8129500277,1513,211,True,38.0
8129502763,1539,293,True,2.0
8129504910,1160,5,False,38.0
8129504983,2068,107,False,2.0
8129506835,1994,0,True,38.0
8129509272,2249,79,False,38.0
8129510206,1479,0,True,3.0
8129513557,2141,7,True,38.0
8129516230,1989,264,False,3.0
8129517294,2954,123,False,
8129535098,2416,117,False,2.0
8129535471,2034,108,True,2.0
8129540727,2187,111,False,38.0
8129544736,1207,5,True,2.0
8129552811,1663,1,False,38.0
8129555236,2021,111,True,38.0
8129555784,2703,142,False,38.0
8129581111,1793,207,False,3.0
8129589613,4412,67,True,15.0
8129607275,1567,291,True,3.0
8129630453,1706,198,True,3.0
8129651873,1740,198,True,3.0
8129676736,2109,43,True,3.0
8129756474,1909,6,True,3.0
8129761484,2758,75,False,5.0
8129773801,3349,315,False,5.0
8129783104,1680,41,False,3.0
8129783813,1565,293,True,3.0
8129791559,1181,116,True,3.0
8129799523,3680,0,False,5.0
8129808256,2049,41,False,3.0
8129811800,1327,159,True,13.0
8129812290,1492,81,False,3.0
8129813115,1003,216,False,3.0
8129826589,3178,193,True,5.0
8129834554,2047,105,False,3.0
8129835109,1534,113,True,3.0
8129838698,2086,165,False,3.0
8129844416,1699,127,True,13.0
8129861331,1644,75,True,3.0
8129865927,2220,139,True,5.0
8129870868,1575,160,True,3.0
8129874636,2121,733,False,3.0
8129887518,1529,112,True,3.0
8129897175,2710,207,True,5.0
8129899919,1842,110,True,3.0
8129908484,2618,59,True,5.0
8129909624,1418,455,False,3.0
8129916115,2160,117,True,5.0
8129922054,1691,170,False,3.0
8129931399,1384,0,False,3.0
8129944482,2880,24,True,5.0
8129944739,1870,0,True,3.0
8129954428,1989,96,True,5.0
8129960899,2437,102,True,3.0
8129969861,2348,46,False,5.0
8129981764,1639,60,False,3.0
8129984072,2501,13,False,3.0
8130006726,1293,63,True,3.0
8130024953,1774,0,False,3.0
8130030544,2789,0,True,5.0
8130036648,2372,169,True,3.0
8130037480,1732,87,False,3.0
8130072752,1654,10,False,3.0
8130100605,2625,141,False,3.0
8130125201,2058,322,False,3.0
8130126440,2819,248,True,3.0
8130181366,3410,219,True,8.0
8130186026,1702,402,True,3.0
8130198697,3998,292,True,3.0
8130199816,1811,131,False,3.0
8130217743,2614,102,False,3.0
8130249020,1880,0,False,3.0
8130289118,2069,0,False,3.0
8130314916,2926,69,True,8.0
8130317245,1747,38,False,3.0
8130363455,1584,144,False,8.0
8130377184,2257,4,False,3.0
8130379622,1782,131,True,3.0
8130426097,2167,166,True,3.0
8130443160,3004,0,False,8.0
8130450420,1620,78,False,3.0
8130469170,1850,19,True,6.0
8130500692,2208,147,True,3.0
8130507621,2782,109,True,8.0
8130509418,1889,5,True,3.0
8130535579,2035,73,True,3.0
8130541451,3121,0,False,8.0
8130553202,1902,47,False,6.0
8130610560,2768,106,True,8.0
8130628235,2436,70,False,38.0
